["port 2","RIGHT"]
["port 3","RIGHT"]
["port 1","LEFT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(150, 3)
1.8983882805779856e+14 9.2429066683254041e-03 4.4824432953007225e+01
1.8991954184523809e+14 6.3345594781991756e-03 4.7049629950138076e+01
1.9000032429604425e+14 1.7353959259291867e-03 4.9004611304702415e+01
1.9008117549787234e+14 5.5224199210160080e-03 4.8343715840316086e+01
1.9016209553852703e+14 8.7276867171699728e-03 5.0663691352162587e+01
1.9024308450596253e+14 6.0638340751487333e-03 5.2805834310771417e+01
1.9032414248828291e+14 1.8252164827623713e-03 5.4833194859562248e+01
1.9040526957374253e+14 4.6778778437123946e-03 5.4539664899014348e+01
1.9048646585074628e+14 5.2886504437062217e-03 5.6817983156088395e+01
1.9056773140784984e+14 3.4005348728094412e-03 5.8776869771023343e+01
1.9064906633376016e+14 8.6426830169931274e-04 5.9214549784606092e+01
1.9073047071733562e+14 5.6600729386237919e-03 6.0935003322569706e+01
1.9081194464758650e+14 4.7158690238985309e-03 6.2996965170018051e+01
1.9089348821367522e+14 3.1641212045304596e-03 6.4890748988665905e+01
1.9097510150491662e+14 1.0485413185358560e-03 6.5538841811381133e+01
1.9105678461077844e+14 2.3428983023853992e-03 6.7097712488961250e+01
1.9113853762088147e+14 3.0047569138205747e-03 6.8866634121723408e+01
1.9122036062500000e+14 1.9541868355444237e-03 7.1048621186086393e+01
1.9130225371306209e+14 2.9738040341792588e-03 7.0933657445437589e+01
1.9138421697514997e+14 2.4478131947952234e-03 7.3615295861503085e+01
1.9146625050150022e+14 2.4942213577973642e-03 7.5109037462788848e+01
1.9154835438250428e+14 9.3068786324341721e-04 7.6383467545715035e+01
1.9163052870870872e+14 3.1267802017403545e-03 7.7574482452225965e+01
1.9171277357081547e+14 2.2438723158078777e-03 7.8773506329826873e+01
1.9179508905968228e+14 1.4951915587572053e-03 8.0266454121611559e+01
1.9187747526632303e+14 2.9328578047955493e-03 8.1880397069956473e+01
1.9195993228190803e+14 2.7208595920443711e-04 8.1901789998376188e+01
1.9204246019776441e+14 2.5039606693967867e-03 8.4693738906522057e+01
